,Post_created_time,location,GoogleMap,Latitude,Longitude,행정구,행정구_depth1,행정구_depth2,행정구_depth3
2004,2019-09-22 07:38:00,고등어민박,"https://maps.google.com/maps?q=33.5411353406,126.8310856819&ll=33.5411353406,126.8310856819",33.5411353406,126.8310856819,"('제주특별자치도', '제주시', '구좌읍')",제주특별자치도,제주시,구좌읍
2005,2019-09-22 07:39:01,센추리21 c.c,"https://maps.google.com/maps?q=37.2812781807,127.8538569552&ll=37.2812781807,127.8538569552",37.2812781807,127.8538569552,"('강원도', '원주시', '문막읍')",강원도,원주시,문막읍
2006,2019-09-22 07:39:03,태화강대공원,"https://maps.google.com/maps?q=35.5476770016,129.2970026476&ll=35.5476770016,129.2970026476",35.5476770016,129.2970026476,"('울산광역시', '중구', '태화동')",울산광역시,중구,태화동
2007,2019-09-22 07:39:03,태화강대공원,"https://maps.google.com/maps?q=35.5476770016,129.2970026476&ll=35.5476770016,129.2970026476",35.5476770016,129.2970026476,"('울산광역시', '중구', '태화동')",울산광역시,중구,태화동
2008,2019-09-22 07:39:04,정자해수욕장,"https://maps.google.com/maps?q=35.627533,129.442342&ll=35.627533,129.442342",35.627533,129.442342,"('울산광역시', '북구', '산하동')",울산광역시,북구,산하동
2009,2019-09-22 07:39:04,Haeundae,"https://maps.google.com/maps?q=35.1573276488,129.1562398849&ll=35.1573276488,129.1562398849",35.1573276488,129.1562398849,"('부산광역시', '해운대구', '우동')",부산광역시,해운대구,우동
2010,2019-09-22 07:40:00,제주시이도2동,"https://maps.google.com/maps?q=33.4964666884,126.53837532&ll=33.4964666884,126.53837532",33.4964666884,126.53837532,"('제주특별자치도', '제주시', '이도이동')",제주특별자치도,제주시,이도이동
2011,2019-09-22 07:40:01,다쉼 더쉼,"https://maps.google.com/maps?q=35.9561623,126.9711754&ll=35.9561623,126.9711754",35.956162299999995,126.97117539999999,"('전라북도', '익산시', '영등동')",전라북도,익산시,영등동
2012,2019-09-22 07:40:01,광안리 비노,"https://maps.google.com/maps?q=35.156646918,129.1224422664&ll=35.156646918,129.1224422664",35.156646918,129.1224422664,"('부산광역시', '수영구', '민락동')",부산광역시,수영구,민락동
2013,2019-09-22 07:41:00,Piggy Bistro - Haeundae,"https://maps.google.com/maps?q=35.1619769433,129.1663992405&ll=35.1619769433,129.1663992405",35.1619769433,129.1663992405,"('부산광역시', '해운대구', '중동')",부산광역시,해운대구,중동
